title,year,imdb_id,streaming_services
The Circle,2020,tt9581768,"Apple TV, The Roku Channel, Kanopy, Apple TV, Apple TV"
I Am Georgina,2022,tt15494864,Not Available
Billionaire Island,2024,tt29306091,Not Available
His Three Daughters,2024,tt28491891,"Netflix basic with Ads, Netflix, Fandango, Harkins Theatres"
Into the Fire: The Lost Daughter,2024,tt33163756,Not Available
KAOS,2024,tt8550732,"Apple TV, Cohen Media Amazon Channel, Tubi TV, Kanopy, Apple TV, Amazon Video, Amazon Video, Apple TV"
Officer Black Belt,2024,tt28494829,"Netflix basic with Ads, Netflix"
Technoboys,2024,tt31487553,"Netflix basic with Ads, Netflix"
Uglies,2024,tt13186604,"Netflix basic with Ads, Netflix, Fandango"
Ángel Di María: Breaking Down the Wall,2024,tt32809355,Not Available
